NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_MESORREGIAO;CO_MESORREGIAO;NO_MICRORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;TP_DEPENDENCIA;TP_SITUACAO_FUNCIONAMENTO;IN_AGUA_INEXISTENTE;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_INEXISTENTE;IN_AREA_VERDE;IN_AUDITORIO;IN_BIBLIOTECA;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PARQUE_INFANTIL;IN_QUADRA_ESPORTES;IN_QUADRA_ESPORTES_COBERTA;IN_QUADRA_ESPORTES_DESCOBERTA;IN_REFEITORIO;IN_SALA_DIRETORIA;IN_SALA_LEITURA;IN_SALA_PROFESSOR;IN_SECRETARIA;IN_SALA_ATENDIMENTO_ESPECIAL;IN_COMPUTADOR;IN_EQUIP_IMPRESSORA;IN_EQUIP_SOM;IN_EQUIP_TV;IN_EQUIP_MULTIMIDIA;IN_INTERNET;IN_ALIMENTACAO;TP_AEE;TP_ATIVIDADE_COMPLEMENTAR;IN_MEDIACAO_PRESENCIAL;IN_MEDIACAO_SEMIPRESENCIAL;IN_MEDIACAO_EAD;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_EJA_FUND;QT_MAT_ESP;QT_MAT_INF_INT;QT_MAT_INF_CRE_INT;QT_MAT_FUND_INT;QT_MAT_FUND_AI_INT;QT_MAT_FUND_AF_INT;QT_DOC_INF;QT_DOC_FUND;QT_DOC_FUND_AI;QT_DOC_FUND_AF;QT_DOC_EJA_FUND;QT_DOC_ESP;QT_TUR_INF;QT_TUR_FUND;QT_TUR_FUND_AI;QT_TUR_FUND_AF;QT_TUR_EJA_FUND;QT_TUR_ESP
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211443;CEMEI ABELHINHA;3;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;173;173;55;118;0;0;0;0;0;4;158;55;0;0;0;13;0;0;0;0;3;12;0;0;0;0;3
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211478;PEM BEIJA FLOR;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;62;62;0;62;0;0;0;0;0;0;38;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211524;PEM CINDERELA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;52;52;0;52;0;0;0;0;0;4;32;0;0;0;0;3;0;0;0;0;2;3;0;0;0;0;2
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211559;PEM COMECINHO DA VIDA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;81;81;0;81;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211567;PEM CRIANCA FELIZ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;38;38;0;38;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211575;PEM TIA CHICA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;60;60;0;60;0;0;0;0;0;1;60;0;0;0;0;3;0;0;0;0;1;3;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211630;PEM IRMA ILKA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;45;45;0;45;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;4;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211648;PEM IRMA TEREZA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;57;57;0;57;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;1;4;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211672;PEM LUA DE PAPEL;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;36;36;0;36;0;0;0;0;0;0;36;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211702;PEM MEU MUNDO;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;122;122;0;122;0;0;0;0;0;2;3;0;0;0;0;8;0;0;0;0;2;8;0;0;0;0;2
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211737;PEM MUNDO MAGICO;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;47;47;0;47;0;0;0;0;0;0;15;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211770;PEM PATZUM;3;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;45;45;0;45;0;0;0;0;0;1;45;0;0;0;0;3;0;0;0;0;1;3;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211788;PEM PEQUENO POLEGAR;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;129;129;0;129;0;0;0;0;0;1;79;0;0;0;0;8;0;0;0;0;1;8;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211796;PEM PEQUENO PONEY;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;14;14;0;14;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211800;PEM PETER PAN;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;29;29;0;29;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211818;PEM PICA PAU;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0;304;304;0;304;0;0;0;0;0;4;72;0;0;0;0;21;0;0;0;0;8;17;0;0;0;0;4
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211826;PEM PINGO DE GENTE;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;68;68;0;68;0;0;0;0;0;1;68;0;0;0;0;4;0;0;0;0;1;4;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211869;PEM TESOURO INFANTIL;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;39;39;0;39;0;0;0;0;0;0;23;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31211877;PEM TIA AMELIA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;50;50;0;50;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31228401;PEM O NINHO;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;81;81;0;81;0;0;0;0;0;0;81;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31228419;PEM CORACAO DE CRIANCA;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;33;33;0;33;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31228591;EM IRMA MARIA AMALIA;3;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;2035;0;0;0;2035;878;1157;0;0;35;0;0;17;11;6;0;98;45;53;0;68;0;73;37;36;0;26
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31305669;EM NOSSA SENHORA APARECIDA;3;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;565;55;0;55;489;232;257;0;21;13;2;0;95;88;7;4;31;15;16;1;26;3;20;11;9;1;10
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31310352;EM SAO CRISTOVAO;3;1;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;476;79;0;79;397;397;0;0;0;19;0;0;25;25;0;5;26;26;0;0;20;4;20;20;0;0;13
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31315818;EM DORALICE ARRUDA;3;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;699;225;0;225;474;474;0;0;0;25;1;0;7;7;0;13;33;33;0;0;27;12;24;24;0;0;16
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31345130;CEMEI VILA SAO JOAO;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;0;0;60;60;24;36;0;0;0;0;0;1;60;24;0;0;0;6;0;0;0;0;1;5;0;0;0;0;1
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31345148;CENTRO SOLIDARIO DE EDUCACAO INFANTIL SAO CRISTOVAO;3;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;211;211;133;78;0;0;0;0;0;5;211;133;0;0;0;19;0;0;0;0;4;19;0;0;0;0;4
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31366722;CEMEI - SAO BENEDITO;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;64;64;29;35;0;0;0;0;0;0;64;29;0;0;0;6;0;0;0;0;0;5;0;0;0;0;0
2019;Teófilo Otoni;3168606;Vale do Mucuri;3104;Teófilo Otoni;31015;31366730;CEMEI - FELICIDADE;3;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;105;105;69;36;0;0;0;0;0;1;105;69;0;0;0;8;0;0;0;0;1;8;0;0;0;0;1
2019;Umburatiba;3170305;Vale do Mucuri;3104;Nanuque;31016;31148466;EM COLATINA GONCALVES DE SOUZA;3;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;200;24;0;24;141;62;79;0;35;5;0;0;0;0;0;1;12;3;9;7;11;1;8;3;5;2;4
2019;Umburatiba;3170305;Vale do Mucuri;3104;Nanuque;31016;31270164;EM SOLIVAR FERREIRA BORGES;3;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;189;44;0;44;134;134;0;0;11;3;0;0;0;0;0;2;5;5;0;1;2;2;5;5;0;1;2
